Sevan	Sevan	40.5484	44.94868	AM	17083
Masis	Masis	40.06762	44.43591	AM	18911
Vanadzor	Vanadzor	40.80456	44.4939	AM	101098
Gavarr	Gavarr	40.35398	45.12386	AM	21680
Hrazdan	Hrazdan	40.49748	44.7662	AM	40795
Armavir	Armavir	40.15446	44.03815	AM	25963
Gyumri	Gyumri	40.7942	43.84528	AM	148381
Ashtarak	Ashtarak	40.2991	44.36204	AM	18779
Abovyan	Abovyan	40.26741	44.62656	AM	35673
Saurimo	Saurimo	-9.66078	20.39155	AO	40498
Lucapa	Lucapa	-8.41915	20.74466	AO	20115
Luau	Luau	-10.70727	22.22466	AO	18465
Uíge	Uige	-7.60874	15.06131	AO	60008
Soio	Soio	-6.1349	12.36894	AO	67491
Nzeto	Nzeto	-7.23116	12.8666	AO	18352
N’dalatando	N'dalatando	-9.29782	14.91162	AO	383100
Mbanza Congo	Mbanza Congo	-6.26703	14.2401	AO	24220
Malanje	Malanje	-9.54015	16.34096	AO	87046
Luanda	Luanda	-8.83682	13.23432	AO	2776168
Caxito	Caxito	-8.57848	13.66425	AO	28224
Cabinda	Cabinda	-5.55	12.2	AO	66020
Sumbe	Sumbe	-11.20605	13.84371	AO	33277
Namibe	Namibe	-15.19611	12.15222	AO	80149
Menongue	Menongue	-14.6585	17.69099	AO	32203
Luena	Luena	-11.78333	19.91667	AO	21115
Lubango	Lubango	-14.91717	13.4925	AO	102541
Longonjo	Longonjo	-12.90667	15.25333	AO	24346
Lobito	Lobito	-12.3644	13.53601	AO	207932
Cuito	Cuito	-12.38333	16.93333	AO	113624
Huambo	Huambo	-12.77611	15.73917	AO	226145
Catumbela	Catumbela	-12.43002	13.54677	AO	16977
Catabola	Catabola	-12.15	17.28333	AO	18855
Camacupa	Camacupa	-12.01667	17.48333	AO	19150
Caluquembe	Caluquembe	-13.78333	14.68333	AO	30300
Caála	Caala	-12.8525	15.56056	AO	21205
Benguela	Benguela	-12.57626	13.40547	AO	151226
Zárate	Zarate	-34.09814	-59.02858	AR	88781
Villa Ocampo	Villa Ocampo	-28.48752	-59.35515	AR	19101
Villa Lugano	Villa Lugano	-34.67907	-58.47263	AR	114000
Villaguay	Villaguay	-31.8653	-59.02689	AR	32027
Villa Gesell	Villa Gesell	-37.26394	-56.97304	AR	23257
Tigre	Tigre	-34.42603	-58.57962	AR	31106
Tandil	Tandil	-37.32167	-59.13316	AR	104325
San Vicente	San Vicente	-26.61667	-54.13333	AR	38247
Santo Tomé	Santo Tome	-28.54939	-56.04077	AR	22634
Santa Elena	Santa Elena	-30.94768	-59.78696	AR	18410
San Pedro	San Pedro	-26.62207	-54.10842	AR	23736
San Luis del Palmar	San Luis del Palmar	-27.5079	-58.55454	AR	15347
San Lorenzo	San Lorenzo	-28.13306	-58.76733	AR	47626
San Javier	San Javier	-30.57781	-59.9317	AR	15606
San Isidro	San Isidro	-34.47145	-58.50776	AR	45190
Saladas	Saladas	-28.25384	-58.62591	AR	18349
Retiro	Retiro	-34.58333	-58.38333	AR	38635
Resistencia	Resistencia	-27.46056	-58.98389	AR	387158
Reconquista	Reconquista	-29.15	-59.65	AR	90184
Quilmes	Quilmes	-34.72418	-58.25265	AR	518788
Puerto Rico	Puerto Rico	-26.79598	-55.02402	AR	17491
Puerto Iguazú	Puerto Iguazu	-25.59912	-54.57355	AR	32038
Puerto Esperanza	Puerto Esperanza	-26.01517	-54.67306	AR	15579
Puerto Eldorado	Puerto Eldorado	-26.40843	-54.69463	AR	54189
Posadas	Posadas	-27.36708	-55.89608	AR	323739
Pontevedra	Pontevedra	-34.74974	-58.68697	AR	33515
Pirané	Pirane	-25.73239	-59.10879	AR	19124
Paso de los Libres	Paso de los Libres	-29.71251	-57.08771	AR	43805
Oberá	Obera	-27.48706	-55.11994	AR	56528
Necochea	Necochea	-38.54726	-58.73675	AR	80478
Morón	Moron	-34.65344	-58.61975	AR	319934
Monte Caseros	Monte Caseros	-30.25359	-57.63626	AR	24671
Montecarlo	Montecarlo	-26.5662	-54.757	AR	22229
Mercedes	Mercedes	-34.65145	-59.43068	AR	52949
Mercedes	Mercedes	-29.18416	-58.07519	AR	30649
Mar del Plata	Mar del Plata	-38.00228	-57.55754	AR	553935
Luján	Lujan	-34.57028	-59.105	AR	81749
La Plata	La Plata	-34.92145	-57.95453	AR	694167
La Paz	La Paz	-30.74485	-59.64566	AR	24716
Jardín América	Jardin America	-27.04346	-55.22698	AR	24905
Gualeguaychú	Gualeguaychu	-33.00937	-58.51722	AR	78676
Gualeguay	Gualeguay	-33.14156	-59.30966	AR	33120
Goya	Goya	-29.14395	-59.2651	AR	70245
Gobernador Ingeniero Valentín Virasoro	Gobernador Ingeniero Valentin Virasoro	-28.05	-56.03333	AR	28756
General José de San Martín	General Jose de San Martin	-26.53743	-59.34158	AR	31758
Garupá	Garupa	-27.48171	-55.82921	AR	28814
Formosa	Formosa	-26.17753	-58.17814	AR	221383
Fontana	Fontana	-27.41813	-59.02392	AR	26745
Federal	Federal	-30.95465	-58.78326	AR	16333
Esquina	Esquina	-30.01444	-59.52719	AR	26399
El Soberbio	El Soberbio	-27.29847	-54.19877	AR	19571
Dolores	Dolores	-36.31321	-57.67918	AR	25190
Curuzú Cuatiá	Curuzu Cuatia	-29.79171	-58.0546	AR	36390
Corrientes	Corrientes	-27.4806	-58.8341	AR	339067
Concordia	Concordia	-31.39296	-58.02089	AR	145210
Concepción del Uruguay	Concepcion del Uruguay	-32.48249	-58.23722	AR	67895
Colegiales	Colegiales	-34.57365	-58.44924	AR	57000
Chajarí	Chajari	-30.75048	-57.97962	AR	30655
Campana	Campana	-34.16874	-58.95914	AR	81612
Buenos Aires	Buenos Aires	-34.61315	-58.37723	AR	13076300
Barranqueras	Barranqueras	-27.48132	-58.93925	AR	50823
Azul	Azul	-36.77698	-59.85854	AR	53941
Avellaneda	Avellaneda	-29.11761	-59.65834	AR	23077
Aristóbulo del Valle	Aristobulo del Valle	-27.09625	-54.89626	AR	20683
Zapala	Zapala	-38.89916	-70.05442	AR	31534
Yerba Buena	Yerba Buena	-26.81667	-65.31667	AR	50783
Villa Regina	Villa Regina	-39.1	-67.06667	AR	31209
Villa Paula de Sarmiento	Villa Paula de Sarmiento	-31.4933	-68.53838	AR	19092
Villa Nueva	Villa Nueva	-32.43293	-63.24763	AR	16841
Villa María	Villa Maria	-32.40751	-63.24016	AR	92453
Villa Dolores	Villa Dolores	-31.94585	-65.18958	AR	28009
Villa Constitución	Villa Constitucion	-33.22778	-60.3297	AR	44271
Villa Carlos Paz	Villa Carlos Paz	-31.42414	-64.49778	AR	69451
Villa Ángela	Villa Angela	-27.57383	-60.71526	AR	43511
